MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Year,Month,Day,DayOfWeek,Hour,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
13.4,22.9,0.6,0.0,0.0,14,44.0,14,15,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,0.0,16.9,21.8,0.0,0.0,2008,12,1,0,0,-2.4492935982947064e-16,1.0,0.0,1.0
7.4,25.1,0.0,0.0,0.0,15,44.0,7,16,4.0,22.0,44.0,25.0,1010.6,1007.8,0.0,0.0,17.2,24.3,0.0,0.0,2008,12,2,1,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
12.9,25.7,0.0,0.0,0.0,16,46.0,14,16,19.0,26.0,38.0,30.0,1007.6,1008.7,0.0,2.0,21.0,23.2,0.0,0.0,2008,12,3,2,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
9.2,28.0,0.0,0.0,0.0,5,24.0,10,1,11.0,9.0,45.0,16.0,1017.6,1012.8,0.0,0.0,18.1,26.5,0.0,0.0,2008,12,4,3,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
17.5,32.3,1.0,0.0,0.0,14,41.0,2,8,7.0,20.0,82.0,33.0,1010.8,1006.0,7.0,8.0,17.8,29.7,0.0,0.0,2008,12,5,4,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191
14.6,29.7,0.2,0.0,0.0,15,56.0,14,14,19.0,24.0,55.0,23.0,1009.2,1005.4,0.0,0.0,20.6,28.9,0.0,0.0,2008,12,6,5,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146
14.3,25.0,0.0,0.0,0.0,14,50.0,13,14,20.0,24.0,49.0,19.0,1009.6,1008.2,1.0,0.0,18.1,24.6,0.0,0.0,2008,12,7,6,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334
7.7,26.7,0.0,0.0,0.0,14,35.0,11,14,6.0,17.0,48.0,19.0,1013.4,1010.1,0.0,0.0,16.3,25.5,0.0,0.0,2008,12,8,0,0,-2.4492935982947064e-16,1.0,0.0,1.0
9.7,31.9,0.0,0.0,0.0,7,80.0,10,8,7.0,28.0,42.0,9.0,1008.9,1003.6,0.0,0.0,18.3,30.2,0.0,1.0,2008,12,9,1,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336
13.1,30.1,1.4,0.0,0.0,14,28.0,9,11,15.0,11.0,58.0,27.0,1007.0,1005.7,0.0,0.0,20.1,28.2,1.0,0.0,2008,12,10,2,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434
