MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Year,Month,Day,DayOfWeek,Hour,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
9.5,15.4,2.0,2.8,7.0,14,63.0,14,14,37.0,35.0,60.0,38.0,1006.8,1010.3,1.0,7.0,11.0,14.6,1.0,0.0,2008,7,1,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
11.0,14.5,0.6,5.2,4.0,14,63.0,14,16,30.0,35.0,66.0,52.0,1013.4,1016.2,7.0,4.0,11.8,13.7,0.0,1.0,2008,7,2,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
8.4,14.1,1.4,2.0,0.8,14,39.0,14,14,17.0,24.0,72.0,58.0,1024.8,1024.3,7.0,7.0,10.6,13.9,1.0,0.0,2008,7,3,3,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
9.1,14.5,0.6,1.8,4.2,1,19.0,7,4,9.0,7.0,87.0,49.0,1030.2,1029.0,7.0,6.0,10.2,13.1,0.0,0.0,2008,7,4,4,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
4.3,15.5,0.0,0.8,8.4,4,52.0,4,6,24.0,30.0,81.0,52.0,1028.9,1024.9,2.0,5.0,5.5,14.6,0.0,0.0,2008,7,5,5,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
5.5,15.4,0.0,2.8,3.0,4,74.0,4,7,31.0,44.0,68.0,48.0,1023.1,1020.1,6.0,6.0,11.6,14.6,0.0,0.0,2008,7,6,6,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
11.5,14.3,0.0,3.0,1.0,6,57.0,4,4,28.0,22.0,73.0,63.0,1016.3,1012.9,8.0,7.0,12.2,13.3,0.0,1.0,2008,7,7,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
6.9,10.4,5.0,1.2,0.3,4,37.0,4,4,13.0,11.0,80.0,71.0,1017.1,1017.0,8.0,7.0,7.3,10.3,1.0,1.0,2008,7,8,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
3.6,14.8,1.2,0.4,6.5,4,35.0,4,16,11.0,17.0,95.0,61.0,1023.1,1019.6,1.0,7.0,4.2,13.1,1.0,1.0,2008,7,9,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
4.2,13.5,3.0,2.2,7.0,15,69.0,4,15,15.0,46.0,87.0,33.0,1009.4,1006.7,6.0,3.0,9.0,12.2,1.0,0.0,2008,7,10,3,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
7.4,13.5,0.2,1.8,5.6,16,52.0,14,16,26.0,26.0,71.0,56.0,1016.3,1018.5,3.0,6.0,9.2,13.0,0.0,0.0,2008,7,11,4,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
6.6,11.3,0.0,2.0,0.0,4,91.0,4,4,22.0,46.0,68.0,53.0,1023.2,1018.5,7.0,8.0,8.4,10.3,0.0,0.0,2008,7,12,5,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
8.4,14.3,0.0,3.8,4.2,4,87.0,4,4,33.0,44.0,49.0,55.0,1017.1,1014.4,7.0,4.0,11.3,13.8,0.0,0.0,2008,7,13,6,0,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
7.4,18.9,0.0,2.6,9.4,4,54.0,12,4,7.0,26.0,78.0,24.0,1017.4,1016.2,1.0,5.0,8.5,17.9,0.0,0.0,2008,7,14,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0
8.4,17.6,0.0,2.8,3.4,6,39.0,4,4,17.0,24.0,70.0,51.0,1019.9,1018.2,7.0,6.0,10.8,16.1,0.0,0.0,2008,7,15,1,0,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336
6.2,16.4,0.0,2.6,8.3,4,43.0,4,4,19.0,30.0,86.0,55.0,1022.2,1018.7,1.0,6.0,7.5,14.1,0.0,0.0,2008,7,16,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
7.5,13.6,0.0,1.8,1.0,4,59.0,4,4,35.0,30.0,70.0,47.0,1013.5,1009.2,7.0,7.0,11.4,13.4,0.0,0.0,2008,7,17,3,0,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
9.1,12.4,0.8,1.8,2.1,13,56.0,15,16,20.0,19.0,87.0,70.0,1008.2,1009.0,8.0,7.0,9.3,11.7,0.0,1.0,2008,7,18,4,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
