MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Year,Month,Day,DayOfWeek,Hour,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
12.5,16.6,0.0,4.8,6.5,13,59.0,13,13,28.0,28.0,97.0,99.0,1006.7,1010.5,0.0,6.0,13.7,14.5,0.0,1.0,2009,1,1,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
8.6,15.2,1.6,4.8,11.7,12,39.0,13,9,20.0,17.0,60.0,61.0,1020.0,1021.3,6.0,2.0,11.9,14.0,1.0,0.0,2009,1,2,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
1.6,18.0,0.2,4.6,11.9,9,30.0,5,3,9.0,15.0,67.0,52.0,1020.4,1018.3,6.0,3.0,11.6,17.5,0.0,0.0,2009,1,3,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
4.8,20.1,0.0,4.8,13.8,9,28.0,1,9,11.0,17.0,73.0,63.0,1016.4,1015.2,1.0,1.0,14.7,18.1,0.0,0.0,2009,1,4,6,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
4.4,18.8,0.0,5.6,13.6,14,46.0,14,14,20.0,31.0,72.0,68.0,1014.0,1013.4,4.0,3.0,14.9,18.0,0.0,0.0,2009,1,5,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
0.0,20.0,0.0,5.4,8.5,0,0.0,15,14,17.0,26.0,99.0,81.0,1010.9,1010.8,8.0,6.0,15.4,18.9,0.0,1.0,2009,1,6,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
12.8,18.6,1.4,4.8,8.0,16,50.0,13,14,9.0,28.0,88.0,57.0,1011.5,1012.8,8.0,6.0,14.6,17.9,1.0,0.0,2009,1,7,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
10.8,16.2,0.0,5.8,11.7,9,39.0,12,9,20.0,22.0,58.0,50.0,1019.8,1021.5,6.0,3.0,12.9,15.0,0.0,0.0,2009,1,8,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
10.9,18.0,0.0,5.2,9.9,10,35.0,10,3,17.0,19.0,56.0,51.0,1022.2,1019.7,7.0,3.0,14.1,17.2,0.0,0.0,2009,1,9,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
11.8,18.5,0.0,5.2,13.8,3,33.0,1,11,15.0,19.0,71.0,56.0,1014.5,1013.0,6.0,0.0,15.4,17.7,0.0,0.0,2009,1,10,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
7.4,18.6,0.0,6.4,11.2,14,35.0,0,16,0.0,24.0,75.0,51.0,1012.7,1013.1,7.0,1.0,14.0,17.5,0.0,0.0,2009,1,11,6,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
13.4,21.6,0.2,4.8,11.6,9,24.0,15,11,9.0,13.0,89.0,64.0,1018.3,1017.5,8.0,2.0,16.2,20.8,0.0,0.0,2009,1,12,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
11.0,36.8,0.0,6.0,13.0,8,48.0,4,14,15.0,30.0,51.0,14.0,1010.9,1006.7,1.0,1.0,21.4,36.3,0.0,0.0,2009,1,13,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
15.2,18.5,0.0,15.2,5.8,14,43.0,12,9,17.0,15.0,90.0,71.0,1011.5,1012.7,8.0,7.0,15.4,17.2,0.0,0.0,2009,1,14,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
10.5,20.0,0.0,5.0,12.1,16,54.0,14,16,20.0,30.0,61.0,58.0,1015.8,1017.5,2.0,3.0,16.7,18.2,0.0,0.0,2009,1,15,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
13.0,17.6,0.0,6.6,12.0,16,52.0,13,13,28.0,26.0,51.0,47.0,1020.3,1022.7,2.0,5.0,14.6,15.7,0.0,0.0,2009,1,16,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
7.4,18.5,0.0,5.4,13.4,12,41.0,10,10,9.0,15.0,59.0,52.0,1024.4,1023.9,6.0,3.0,14.5,17.2,0.0,0.0,2009,1,17,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2.7,22.6,0.0,5.4,13.8,1,28.0,2,3,13.0,19.0,67.0,50.0,1021.8,1019.7,1.0,0.0,14.1,20.9,0.0,0.0,2009,1,18,6,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
8.4,29.4,0.0,7.2,13.4,16,39.0,1,12,9.0,20.0,72.0,28.0,1012.3,1010.3,2.0,5.0,16.9,26.0,0.0,0.0,2009,1,19,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
13.2,27.8,0.0,8.4,12.0,14,56.0,16,7,9.0,20.0,78.0,27.0,1006.3,1007.6,6.0,6.0,18.0,24.6,0.0,0.0,2009,1,20,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
8.4,22.4,0.0,7.0,10.8,14,43.0,8,14,17.0,35.0,79.0,53.0,1011.3,1008.2,3.0,3.0,16.3,21.2,0.0,0.0,2009,1,21,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
13.5,23.2,0.0,8.2,5.2,15,83.0,8,14,44.0,41.0,46.0,63.0,994.6,998.9,5.0,7.0,21.7,17.8,0.0,0.0,2009,1,22,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
8.1,23.3,0.2,6.6,7.4,15,57.0,4,14,15.0,31.0,75.0,50.0,1006.6,1003.1,7.0,2.0,12.8,21.4,0.0,1.0,2009,1,23,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
12.6,18.3,7.4,5.6,11.6,14,57.0,16,16,28.0,28.0,60.0,48.0,1008.8,1013.6,6.0,0.0,15.3,17.3,1.0,0.0,2009,1,24,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
6.5,20.4,0.0,5.2,13.3,14,39.0,4,14,7.0,24.0,78.0,54.0,1018.5,1018.9,4.0,2.0,13.8,19.6,0.0,0.0,2009,1,25,6,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
6.9,21.5,0.0,5.2,13.4,10,33.0,10,3,9.0,19.0,86.0,63.0,1022.6,1021.4,6.0,5.0,16.6,20.4,0.0,0.0,2009,1,26,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
12.3,33.1,0.0,6.6,13.3,1,28.0,2,3,15.0,15.0,87.0,35.0,1016.3,1013.3,1.0,0.0,15.5,32.1,0.0,0.0,2009,1,27,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
15.1,39.1,0.0,10.8,13.2,4,41.0,4,9,11.0,15.0,29.0,19.0,1009.0,1008.6,2.0,3.0,27.5,33.4,0.0,0.0,2009,1,28,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
18.3,39.3,0.0,13.8,11.4,14,59.0,4,14,19.0,28.0,33.0,21.0,1006.9,1007.8,2.0,7.0,31.3,36.5,0.0,0.0,2009,1,29,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
18.2,30.9,0.0,14.2,12.6,0,0.0,9,9,13.0,19.0,64.0,65.0,1011.7,1011.8,0.0,1.0,23.2,23.7,0.0,0.0,2009,1,30,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
0.0,25.2,0.0,8.6,9.7,10,50.0,10,3,20.0,28.0,77.0,77.0,1015.7,1017.2,3.0,0.0,21.2,20.8,0.0,0.0,2009,1,31,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
