MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Year,Month,Day,DayOfWeek,Hour,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos
9.9,28.4,0.0,9.8,13.5,15,59.0,8,14,7.0,35.0,37.0,24.0,1005.2,1003.5,1.0,1.0,20.8,27.0,0.0,0.0,2009,1,1,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
8.9,25.3,0.0,14.8,13.7,16,48.0,13,13,22.0,28.0,37.0,10.0,1013.9,1012.9,1.0,0.0,14.7,23.2,0.0,0.0,2009,1,2,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
11.0,30.7,0.0,9.8,13.7,5,39.0,2,6,26.0,9.0,43.0,18.0,1017.8,1014.3,0.0,1.0,18.9,28.0,0.0,0.0,2009,1,3,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
14.7,35.2,0.0,9.4,12.1,4,39.0,5,8,17.0,13.0,46.0,19.0,1014.8,1010.6,1.0,4.0,24.7,33.7,0.0,0.0,2009,1,4,6,0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
11.8,36.5,0.0,11.6,13.4,14,43.0,6,13,7.0,19.0,23.0,5.0,1013.1,1009.8,1.0,1.0,23.6,34.6,0.0,0.0,2009,1,5,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0
12.5,39.1,0.0,13.0,13.6,13,72.0,5,14,6.0,30.0,23.0,3.0,1011.4,1007.4,0.0,0.0,25.8,37.4,0.0,0.0,2009,1,6,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
15.6,41.8,0.0,15.2,9.3,7,59.0,3,14,13.0,30.0,17.0,5.0,1006.4,1002.5,1.0,6.0,29.1,39.4,0.0,0.0,2009,1,7,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
14.5,30.4,0.0,17.0,12.9,14,54.0,16,16,19.0,28.0,38.0,8.0,1011.9,1010.9,1.0,0.0,18.9,28.5,0.0,0.0,2009,1,8,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
14.8,28.7,0.0,14.0,12.8,2,78.0,1,5,30.0,20.0,46.0,18.0,1016.9,1013.5,0.0,4.0,19.0,27.2,0.0,0.0,2009,1,9,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
15.9,29.7,0.0,11.4,12.7,2,61.0,2,2,26.0,20.0,43.0,31.0,1013.4,1008.8,2.0,6.0,19.3,27.1,0.0,0.0,2009,1,10,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
